id,condition_mem,mem_correct,source_correct,audio_mem,z_sdo,z_valence,z_interest,stable_c,SDO,valence,interest,stable_raw
946716,baseline,0,1,2_29_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,ingroup,1,0,2_35_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,ingroup,1,1,2_36_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,ingroup,1,0,1_31_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,ingroup,0,1,2_38_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,outgroup,1,0,1_15_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,ingroup,1,0,1_36_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,baseline,1,1,2_02_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,ingroup,1,0,1_32_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,ingroup,1,1,1_40_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,ingroup,1,1,2_34_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,baseline,1,0,2_06_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,outgroup,1,1,1_10_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,ingroup,1,1,2_32_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,outgroup,1,1,1_09_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,outgroup,1,0,2_15_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,outgroup,1,1,1_11_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,ingroup,1,1,1_35_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,outgroup,1,1,2_11_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,ingroup,1,1,2_31_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,outgroup,1,0,2_14_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,outgroup,1,1,1_12_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,ingroup,0,1,1_39_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,ingroup,1,1,2_40_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,ingroup,0,1,1_38_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,outgroup,1,0,1_22_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,outgroup,0,1,2_21_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,outgroup,0,1,2_13_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
946716,outgroup,1,1,1_13_O_s.wav,0.931325693256186,0.28201744415784485,0.41041137898455005,0.12,3.6666666666666665,3,4,1
